product_name,standard_code,scheme,regulatory_status,qco_order,source_url,source_status
Domestic Pressure Cooker,IS 2347:2023,Scheme I (ISI Mark),Compulsory,Domestic Pressure Cooker (Quality Control) Order,https://www.bis.gov.in/product-certification/products-under-compulsory-certification/?lang=en,Official BIS source
Packaged Drinking Water,IS 14543:2024,Scheme I (ISI Mark),Compulsory,Prevention of Food Adulteration / FSSAI and BIS Mandatory Certification,https://www.bis.gov.in/product-certification/products-under-compulsory-certification/?lang=en,Official BIS source
Safety of Toys (Mechanical and Physical),IS 9873 (Part 1):2012,Scheme I (ISI Mark),Compulsory,Toys (Quality Control) Order 2020,https://www.bis.gov.in/product-certification/products-under-compulsory-certification/?lang=en,Official BIS source
Household Electrical Appliances Safety,IS 302 (Part 1):2024,Scheme I (ISI Mark),Compulsory,Electrical Appliances (Quality Control) Order,https://www.bis.gov.in/product-certification/products-under-compulsory-certification/?lang=en,Official BIS source
Ordinary Portland Cement,IS 269:2015,Scheme I (ISI Mark),Compulsory,Cement (Quality Control) Order,https://www.bis.gov.in/product-certification/products-under-compulsory-certification/?lang=en,Official BIS source
High Strength Deformed Steel Bars (TMT),IS 1786:2008,Scheme I (ISI Mark),Compulsory,Steel and Steel Products (Quality Control) Order,https://www.bis.gov.in/product-certification/products-under-compulsory-certification/?lang=en,Official BIS source
Information Technology Equipment (Laptops/Computers),IS 13252 (Part 1):2010,Scheme II (CRS),Compulsory,Electronics and Information Technology Goods (Compulsory Registration) Order,https://www.crsbis.in/BIS/,Official BIS CRS source
Secondary Lithium-ion Batteries / Power Banks,IS 16046 (Part 2):2018,Scheme II (CRS),Compulsory,Electronics and Information Technology Goods (Compulsory Registration) Order,https://www.crsbis.in/BIS/,Official BIS CRS source
Plugs and Socket-Outlets,IS 1293:2019,Scheme I (ISI Mark),Compulsory,Plugs and Socket-Outlets (Quality Control) Order,https://www.bis.gov.in/product-certification/products-under-compulsory-certification/?lang=en,Official BIS source
PVC Insulated Cables for Electricity,IS 694:2010,Scheme I (ISI Mark),Compulsory,Electrical Wires and Cables (Quality Control) Order,https://www.bis.gov.in/product-certification/products-under-compulsory-certification/?lang=en,Official BIS source
